Na,,O2,,SiO,,K,,O,,SiO2,,Mg,,MgO,,KO,,CrO,,Fe,,FeO,,NaO,
2139.77032875532,-0.15232516048141,2139.77032875532,-0.72959707272749,2398.090571098,-1.26703012021543,2141.45319678361,-1.37628637546653,2141.45319678361,-1.54368342486631,2500.32480381668,-2.32100525264675,2321.70706114723,-2.21895525041612,2787.04344413677,-2.49391800555086,2910.10316870555,-3.34048546450368,2466.66744325086,-2.16154420935275,2149.86753692507,-1.87707640149868,2148.60538590385,-2.25802631857142,2294.17347035102,-2.69785921882743
2158.28187706652,-0.154248075983349,2158.28187706652,-0.729631163976682,2425.01645955065,-1.21416311553109,2159.96474509481,-1.37632046671572,2159.96474509481,-1.52600978874599,2520.51922015617,-2.28792899291942,2340.99326299526,-2.18733047604671,2806.18606795858,-2.47025441720553,2925.42928824892,-3.33411361079514,2486.44114258328,-2.12716860815055,2168.37908523627,-1.85887339829458,2168.37908523627,-2.23220945226448,2311.42286764101,-2.67681879010355
2176.79342537772,-0.15758760967485,2176.79342537772,-0.729665255225874,2451.94234800331,-1.16259467752052,2178.47629340601,-1.37635455796491,2178.47629340601,-1.50928056475205,2540.29291948859,-2.2579212978017,2360.01568195791,-2.15745209724805,2825.959767291,-2.44431949938279,2949.22985036332,-3.32231856181706,2505.51364690391,-2.0957856332221,2185.58173619213,-1.83115454968432,2184.99740701564,-2.20874780526509,2328.92469513523,-2.65597951383719
2195.30497368892,-0.159982731239977,2195.30497368892,-0.729699346475066,2478.86823645597,-1.11378569369169,2196.98784171722,-1.37851357649845,2196.98784171722,-1.49231523772651,2561.95984535284,-2.22405090214666,2379.78938129033,-2.12794612107246,2845.10239111281,-2.42130519437435,2965.8181209279,-3.31526602017048,2523.88495621275,-2.06652957345157,2207.2954083905,-1.80460999251524,2207.2954083905,-2.18086968623841,2346.76309623512,-2.63569701121948
2213.81652200013,-0.163558367963071,2213.81652200013,-0.730677849850632,2505.79412490862,-1.06643759737085,2215.49939002842,-1.37901987381083,2215.49939002842,-1.47534991070097,2581.73354468526,-2.19551885097639,2399.11899044862,-2.09991825020748,2861.72071289219,-2.40055873223828,2988.77724902816,-3.30517948211899,2543.32208193952,-2.03410120241912,2222.79181815101,-1.78505181702714,2220.88456771895,-2.16544176889673,2369.90253162412,-2.61067007421802
2232.32807031133,-0.166897901654572,2232.32807031133,-0.732364662320979,2532.72001336128,-1.02184895523176,2234.01093833962,-1.38117889234436,2234.01093833962,-1.4593289958018,2601.06315384355,-2.16781562177985,2418.70570444456,-2.0728287065409,2880.863336714,-2.3788429939036,,,2562.80127936698,-2.00394540054587,2241.58384446693,-1.76240479357533,2241.58384446693,-2.14002798230596,2383.11304564621,-2.59582581455853
2250.83961862253,-0.170237435346073,2250.83961862253,-0.73239875357017,2559.64590181394,-0.978883521434874,2252.52248665082,-1.38286570481471,2252.52248665082,-1.44283587483945,2620.64986783949,-2.14105071978171,2434.69295071333,-2.05013323219251,2900.00596053581,-2.35810118057424,,,2582.57497869941,-1.9754133493756,2263.88184584179,-1.73524088621922,2263.88184584179,-2.11214986327928,2407.3463452536,-2.569804668415
2269.35116693373,-0.174757484195541,2269.35116693373,-0.732432844819362,2586.5717902666,-0.939002183488177,2271.03403496202,-1.38431641425346,2271.03403496202,-1.42705106297188,2642.94786921435,-2.11078205756015,2453.83557453514,-2.0258203605103,2920.41073537884,-2.33443991663227,,,2603.30697788127,-1.94706341951257,2281.13124313177,-1.71629587190074,2281.13124313177,-2.0947690315451,2423.96466703297,-2.55168485250542
2287.86271524493,-0.179041430013416,2287.86271524493,-0.732466936068554,2613.49767871925,-0.899932449712583,2289.54558327322,-1.3860032267238,2289.54558327322,-1.41126625110431,2662.39434420793,-2.08539744418804,2473.16518369343,-2.00165211837011,2939.55335920065,-2.31499666997668,,,2622.12237736425,-1.92159566371948,2299.36231343826,-1.69645744145673,2298.38064042175,-2.07520424676868,2446.26266840783,-2.53029956684756
2306.37426355613,-0.183561478862884,2306.37426355613,-0.732501027317746,2640.42356717191,-0.863946811787178,2303.8499615137,-1.38740683764611,2308.05713158443,-1.39642585136311,2682.61547273835,-2.06032906147599,2492.75189768937,-1.97849434602132,2956.80275649063,-2.2974977867267,,,2641.89607669666,-1.8953361042283,2317.31290574003,-1.67761799731239,2316.47147172588,-2.05705762978405,2459.85182773628,-2.51597543117858
2324.88581186734,-0.188317630743946,2324.88581186734,-0.732535118566938,2667.34945562457,-0.829097419701318,2329.93441595221,-1.39410511070531,2326.56867989563,-1.38087714252713,2702.90004272222,-2.03601829282538,2509.44033896992,-1.96218478248747,2975.94538031244,-2.27772989840266,,,2657.88332296543,-1.87588704656432,2338.90971210309,-1.65627470587513,2342.43572130523,-2.03150513165598,2480.55110448426,-2.49627533795237
2343.39736017854,-0.193545988688194,2343.39736017854,-0.73256920981613,2694.27534407722,-0.797007481797206,2348.44596426341,-1.39579192317566,2345.08022820683,-1.36580063975434,2722.04266654403,-2.01397791282226,2527.3558715211,-1.94098649115111,2992.14298508474,-2.26304263927638,,,2677.02594678724,-1.85352202489276,2354.93702665825,-1.64195815218852,2356.18715719355,-2.01921262413568,2507.35678807775,-2.47295050372442
2361.90890848974,-0.198774346632443,2361.90890848974,-0.732603301065322,2721.20123252988,-0.765891468898417,2366.95751257461,-1.39936755989875,2363.59177651803,-1.3523768582027,2741.99667316519,-1.99105785683553,2544.78056756403,-1.92439223463595,,,,,2696.16857060905,-1.83115700322119,2378.73758877265,-1.61920117674359,2378.73758877265,-1.99720213032477,2523.46423920568,-2.45834177957985
2380.42045680094,-0.204002704576691,2380.42045680094,-0.732637392314514,2748.12712098254,-0.737697231015598,2385.46906088581,-1.40341540268503,2382.10332482923,-1.33942528271425,2758.43468765582,-1.97314008289539,2563.85307188467,-1.90383392786431,,,,,2715.49817976734,-1.81048767684088,2395.98698606263,-1.60497822305697,2394.84503990058,-1.98299815423437,2548.28654262297,-2.43699065560765
2398.93200511214,-0.210411577678908,2398.93200511214,-0.732671483563706,2776.06273025217,-0.709472388488617,2403.98060919702,-1.40817155456609,2400.61487314043,-1.32505708903624,2777.57731147763,-1.95239826956604,2584.2578467277,-1.88667727697316,,,,,2736.22683992534,-1.78698675368582,2420.80928947993,-1.58504371727434,2420.80928947993,-1.96091974357117,2561.83363025072,-2.4268218558146
2417.44355342334,-0.216820450781124,2417.44355342334,-0.732705574812897,2801.97889788785,-0.684879813602811,2422.49215750822,-1.41269160341556,2419.12642145164,-1.31139720445301,2796.71993529944,-1.93327966457888,2600.03473449292,-1.87033140625892,,,,,2754.22751758509,-1.77023129210856,2445.63159289722,-1.56741121604974,2446.77353905927,-1.94042659612011,2586.5717902666,-2.40712920067913
2435.95510173455,-0.223465426914933,2435.95510173455,-0.732031356967309,2828.90478634051,-0.661068238243945,2441.00370581942,-1.41768385832822,2437.63796976284,-1.29820952593297,2815.86255912125,-1.91416105959173,2621.07058484656,-1.85490062474564,,,,,2771.47691487508,-1.75403097553235,2460.35668814477,-1.55650873125135,2460.35668814477,-1.9296302221796,2610.55265966974,-2.3887337175754
2454.46665004575,-0.230110403048743,2454.46665004575,-0.730176623963753,2855.83067479317,-0.638230587890404,2459.51525413062,-1.42267611324087,2456.14951807404,-1.28502184741292,2835.00518294306,-1.8960163796099,2638.74069914362,-1.83611565289627,,,,,2790.61953869689,-1.7365355788874,2483.0754065267,-1.54195153305819,2484.75827455499,-1.91310859792763,2627.80205695973,-2.37660617829417
2472.97819835695,-0.237699791308926,2472.97819835695,-0.730210715212945,2882.75656324582,-0.617340787547508,2478.02680244182,-1.42908498634309,2474.66106638524,-1.27277858101925,2854.98924077902,-1.87740432237589,2661.45941752555,-1.82158993510732,,,,,2809.7621625187,-1.71936482391089,2500.32480381668,-1.532125998335,2501.34654511957,-1.90231213678007,2652.62436037702,-2.35926880585907
2491.48974666815,-0.24528917956911,2491.48974666815,-0.730244806462137,2909.68245169848,-0.597262591375715,2496.53835075302,-1.43478555035052,2493.17261469644,-1.26077141765718,2874.97329861498,-1.85810691050851,2679.33989032614,-1.81327071941222,,,,,2829.53586185112,-1.70284451447294,2525.14710723397,-1.51912701910542,2526.82997526226,-1.88260940739126,2666.17144800476,-2.34961943273552
2510.00129497935,-0.253350773892481,2510.00129497935,-0.730278897711328,2936.60834015114,-0.578969924380347,2515.04989906423,-1.44166662951593,2511.68416300764,-1.24923646035829,2894.11592243679,-1.84223472220577,2698.48251414795,-1.80489480236257,,,,,2848.67848567293,-1.68794625117553,2549.96941065127,-1.50624609139164,2544.78056756403,-1.87466847772987,2690.90960802064,-2.33356276428658
2528.51284329055,-0.261648471247445,2528.51284329055,-0.729132473802553,2960.16849254721,-0.564458545107848,2533.56144737543,-1.44831160564974,2530.19571131885,-1.23722929699621,2913.2585462586,-1.82571325056614,2717.16234926198,-1.78788251371199,,,,,2866.55895847352,-1.6749935134854,2565.29553019463,-1.5006162757824,2563.85307188467,-1.86239746377591,2714.89047742379,-2.31847862620096
2547.02439160176,-0.270182271634002,2547.02439160176,-0.726333328672623,2987.09438099987,-0.546328198946702,2552.07299568663,-1.45542878784673,2548.70725963005,-1.22593044272892,2932.40117008041,-1.81016570393184,2735.50561077036,-1.78164379903182,,,,,2885.70158229533,-1.6610691751933,2589.09609230903,-1.48996801295777,2584.2578467277,-1.85076567476321,2732.13987471377,-2.30903675890411
2565.53593991296,-0.279896587178527,2565.53593991296,-0.725186904763847,,,2570.58454399783,-1.46325427913851,2567.21880794125,-1.21463158846162,2951.39353782827,-1.79554542820697,2754.01715908156,-1.77022684230956,,,,,2904.84420611714,-1.64779412023809,2605.68436287362,-1.48510785660455,2600.03473449292,-1.84270709686665,2756.96217813107,-2.29485726451656
2584.04748822416,-0.289138696659865,2584.04748822416,-0.725220996013039,,,2589.09609230903,-1.47107977043029,2585.73035625245,-1.20380494025751,2967.46092066981,-1.78512464833223,2774.31868352641,-1.76233903825523,,,,,2923.5060105023,-1.63595587861326,2629.48492498802,-1.47752893319064,2621.07058484656,-1.83832603911028,2770.50926575881,-2.2874803830721
2602.55903653536,-0.29885301220439,2602.55903653536,-0.724074572104264,,,2606.93449340892,-1.47765267597283,2604.24190456365,-1.19368660114819,2992.98441909889,-1.76274973503306,2791.97518238634,-1.75141107648858,,,,,2942.49837825016,-1.62546318981572,2654.30722840531,-1.47137694187727,2638.74069914362,-1.83611565289627,2795.24742577469,-2.27531941464446
2621.07058484656,-0.308803430780508,2621.07058484656,-0.722455942132301,,,2626.11918893144,-1.48932788636137,2622.75345287485,-1.18285995294408,,,2809.55180401516,-1.74595536215647,,,,,2961.64100207197,-1.61413598487115,2669.63334794868,-1.46852976914038,2661.45941752555,-1.82158993510732,2819.22829517784,-2.26283240990636
2639.58213315777,-0.319462158451407,2639.58213315777,-0.720129003065558,,,2644.63073724264,-1.49762558371633,2641.26500118606,-1.17274161383475,,,2830.25108076314,-1.74099987778369,,,,,2980.15255038317,-1.60410618439867,2693.43391006308,-1.46513324228612,2679.33989032614,-1.81327071941222,2835.63625845367,-2.25565558211057
2658.09368146897,-0.3303569891539,2658.09368146897,-0.72016309431475,,,2663.14228555384,-1.50710379622927,2659.77654949726,-1.16285937775701,,,2847.41633465171,-1.73483381055956,,,,,2990.46011705645,-1.59860625866256,2710.02218062766,-1.46118376905477,2698.48251414795,-1.80489480236257,2862.44194204717,-2.24357262508692
2676.60522978017,-0.341015716824798,2676.60522978017,-0.718308361311194,,,2681.65383386504,-1.5165820087422,2678.28809780846,-1.15368545077406,,,2870.13505303364,-1.73071228995408,,,,,,,2733.82274274206,-1.46048556256158,2732.82064656988,-1.79821343998173,2874.84708351286,-2.23832700014633
2695.11677809137,-0.352618856622072,2695.11677809137,-0.716925834370825,,,2700.16538217624,-1.52629632428672,2696.79964611966,-1.1447476268227,,,2887.17409182009,-1.72543046930421,,,,,,,2758.8253534481,-1.46016058883552,2754.01715908156,-1.78956385888415,2899.58524352873,-2.22876316506621
2713.62832640257,-0.364458099450938,2713.62832640257,-0.715071101367269,,,2718.67693048745,-1.53695505195762,2715.31119443086,-1.13580980287134,,,2907.60691446359,-1.7197630555543,,,,,,,2773.97116570272,-1.46018848167576,2772.52870739276,-1.78443518931208,2923.74642022063,-2.21845622930241
2732.13987471377,-0.376769548342991,2732.13987471377,-0.714869089584867,,,2737.18847879865,-1.54761377962852,2733.82274274206,-1.12710808195157,,,2924.65997715027,-1.71864956487972,,,,,,,2799.45459584542,-1.46060643153599,2791.97518238634,-1.7845602477593,2939.97407620772,-2.21377417255787
2750.65142302497,-0.389080997235044,2750.65142302497,-0.71159773839175,,,2755.70002710985,-1.55827250729942,2752.33429105327,-1.11935077315818,,,2944.18124627845,-1.71669059785212,,,,,,,2815.44184211418,-1.46063587397847,2809.55180401516,-1.78186696436642,2964.13525289961,-2.20517392442245
2769.16297133618,-0.401864652190285,2769.16297133618,-0.709979108419788,,,2774.21157542105,-1.5696395440651,2770.84583936447,-1.11017684617522,,,2963.32387010026,-1.71347943461858,,,,,,,2838.16056049611,-1.4620943314284,2830.25108076314,-1.77967391093286,2978.11908484898,-2.20025275667384
2787.67451964738,-0.414412204113932,2787.67451964738,-0.71001319966898,,,2792.72312373225,-1.58124268386237,2789.35738767567,-1.10241953738183,,,2982.64680121081,-1.71286573679019,,,,,,,2862.9828639134,-1.46591769319986,2847.41633465171,-1.77903270558718,2996.35015515547,-2.19595777580974
2806.18606795858,-0.427668065132359,2806.18606795858,-0.707686260602237,,,2811.23467204345,-1.59284582365964,2807.86893598687,-1.09537053768322,,,2991.3015510706,-1.71288167555605,,,,,,,2878.30898345677,-1.46742999429632,2870.13505303364,-1.77214875404248,,
2824.69761626978,-0.440923926150786,2824.69761626978,-0.706067630630274,,,2829.74622035465,-1.6051572725517,2826.38048429807,-1.08808543495301,,,,,,,,,,,2902.10954557117,-1.47236453155686,2887.17409182009,-1.77239179527106,,
2843.20916458098,-0.454888096263994,2843.20916458098,-0.704921206721499,,,2848.25776866586,-1.61746872144375,2844.89203260927,-1.08127253828599,,,,,,,,,,,2918.69781613575,-1.47603781334553,2907.60691446359,-1.77224924339961,,
2861.72071289219,-0.468616163345608,2861.72071289219,-0.70424698887591,,,2866.76931697706,-1.6300162733674,2863.40358092048,-1.07398743555579,,,,,,,,,,,2941.65694423601,-1.48190509442885,2925.51670996467,-1.77096807239004,,
2880.23226120339,-0.482816436490409,2880.23226120339,-0.702392255872354,,,2885.28086528826,-1.64256382529104,2881.91512923168,-1.06741064192036,,,,,,,,,,,2967.32068166745,-1.488834760668,2943.29031614582,-1.76878316057337,,
2898.74380951459,-0.497016709635211,2898.74380951459,-0.700065316805611,,,2910.52388571263,-1.66055414375923,2900.42667754288,-1.06130605434812,,,,,,,,,,,2980.86776929519,-1.49314497928742,2962.69279458965,-1.77420412496025,,
2917.25535782579,-0.511216982780012,2917.25535782579,-0.69986330502321,,,2929.03543402383,-1.67333779871447,2918.93822585408,-1.05567367283907,,,,,,,,,,,,,2979.31111636902,-1.76999652736981,,
2935.76690613699,-0.525889461988,2935.76690613699,-0.698480778082841,,,2947.54698233503,-1.6863575567013,2937.44977416528,-1.04956908526683,,,,,,,,,,,,,2991.3015510706,-1.77001860920167,,
2954.27845444819,-0.540561941195988,2954.27845444819,-0.697098251142472,,,2966.05853064623,-1.69937731468814,2955.96132247648,-1.04346449769459,,,,,,,,,,,,,,,,
2972.7900027594,-0.55547052343557,2972.7900027594,-0.694771312075729,,,2984.57007895743,-1.71546641208569,2974.47287078769,-1.03783211618554,,,,,,,,,,,,,,,,
2989.61868304231,-0.569562762695191,2989.61868304231,-0.694802304120449,,,2995.50872114132,-1.72197939028358,2990.46011705645,-1.03372975557514,,,,,,,,,,,,,,,,
